32,Evelyn,Stone,estonev@mail.com,387-(258)135-9187,2014-04-25 0:47:00,ST_CLERK,2500,,22,50
33,Steven,Jackson,sjacksonw@mail.com,46-(306)597-7763,2013-09-16 7:56:00,ST_CLERK,2100,,22,50
34,Katherine,Gutierrez,kgutierrezx@mail.com,62-(760)387-6439,2012-01-01 6:26:00,ST_CLERK,3300,,23,50
35,Denise,Stevens,dstevensy@mail.com,86-(699)965-3153,2012-02-21 22:13:00,ST_CLERK,2900,,23,50
36,Paula,Scott,pscottz@mail.com,46-(676)349-1668,2014-11-21 21:57:00,ST_CLERK,2400,,23,50
37,Annie,Grant,agrant10@mail.com,1-(585)895-3933,2015-12-08 17:55:00,ST_CLERK,2200,,23,50
38,Scott,Taylor,staylor11@mail.com,351-(440)733-6946,2015-07-26 1:43:00,ST_CLERK,3600,,24,50
39,Helen,Carpenter,hcarpenter12@mail.com,86-(798)307-9966,2011-09-09 21:58:00,ST_CLERK,3200,,24,50
40,Betty,Dean,bdean13@mail.com,46-(721)628-0360,2015-07-25 23:45:00,ST_CLERK,2700,,24,50
41,Philip,Daniels,pdaniels14@mail.com,1-(551)365-8800,2014-02-08 20:16:00,ST_CLERK,2500,,24,50
42,Mark,Lawrence,mlawrence15@mail.com,992-(295)815-4281,2015-09-06 7:00:00,ST_CLERK,3500,,25,50
43,Ruth,Watson,rwatson16@mail.com,7-(285)179-8671,2013-04-13 14:37:00,ST_CLERK,3100,,25,50
44,Nancy,Hamilton,nhamilton17@mail.com,86-(704)329-2084,2012-05-01 13:47:00,ST_CLERK,2600,,25,50
45,Albert,Richards,arichards18@mail.com,93-(520)486-2057,2011-10-30 8:42:00,ST_CLERK,2500,,25,50
46,Daniel,Cox,dcox19@mail.com,86-(881)888-3397,2011-12-14 10:23:00,SA_MAN,14000,0.4,1,80
47,Virginia,Hicks,vhicks1a@mail.com,86-(316)157-9480,2011-08-02 1:42:00,SA_MAN,13500,0.3,1,80
48,Kenneth,Garrett,kgarrett1b@mail.com,52-(345)721-6847,2014-05-25 9:28:00,SA_MAN,12000,0.3,1,80
49,Frank,Diaz,fdiaz1c@mail.com,375-(144)497-9966,2014-05-02 2:37:00,SA_MAN,11000,0.3,1,80
50,Ann,Harris,aharris1d@mail.com,48-(292)931-7365,2013-08-18 19:06:00,SA_MAN,10500,0.2,1,80
51,Susan,Richardson,srichardson1e@mail.com,51-(465)111-0067,2013-10-13 19:40:00,SA_REP,10000,0.3,46,80
52,Bonnie,Gardner,bgardner1f@mail.com,420-(415)539-5377,2015-02-06 12:18:00,SA_REP,9500,0.25,46,80
53,Rachel,Franklin,rfranklin1g@mail.com,502-(544)257-0421,2012-06-03 0:48:00,SA_REP,9000,0.25,46,80
54,Andrea,Perkins,aperkins1h@mail.com,62-(505)341-2972,2012-02-06 17:16:00,SA_REP,8000,0.2,46,80
55,Chris,Ray,cray1i@mail.com,359-(262)605-3272,2011-08-07 9:09:00,SA_REP,7500,0.2,46,80
56,Heather,Berry,hberry1j@mail.com,359-(654)979-3993,2015-07-24 16:28:00,SA_REP,7000,0.15,46,80
57,Brian,Allen,ballen1k@mail.com,62-(476)654-4927,2013-03-16 14:47:00,SA_REP,10000,0.35,47,80
58,Edward,Black,eblack1l@mail.com,62-(798)916-3051,2011-04-01 21:19:00,SA_REP,9500,0.35,47,80
59,Steven,Crawford,scrawford1m@mail.com,33-(166)242-5028,2013-01-07 0:49:00,SA_REP,9000,0.35,47,80
60,Willie,Graham,wgraham1n@mail.com,970-(188)586-0281,2013-08-07 8:54:00,SA_REP,8000,0.3,47,80
61,Kathryn,Palmer,kpalmer1o@mail.com,380-(884)145-8519,2013-04-07 16:46:00,SA_REP,7500,0.3,47,80
62,Marilyn,Lopez,mlopez1p@mail.com,60-(774)207-2480,2011-04-21 19:57:00,SA_REP,7000,0.25,47,80
63,Todd,Griffin,tgriffin1q@mail.com,7-(294)439-2462,2014-03-16 11:08:00,SA_REP,10500,0.25,48,80
64,Bobby,Bailey,bbailey1r@mail.com,216-(850)270-7332,2013-12-13 23:29:00,SA_REP,9500,0.15,48,80
65,George,Watkins,gwatkins1s@mail.com,351-(509)125-1306,2014-07-11 14:31:00,SA_REP,7200,0.1,48,80
66,Bobby,Romero,bromero1t@mail.com,86-(682)920-1579,2015-05-15 19:50:00,SA_REP,6800,0.1,48,80
67,Joshua,Burton,jburton1u@mail.com,30-(211)728-8132,2015-11-30 10:58:00,SA_REP,6400,0.1,48,80
68,Elizabeth,Banks,ebanks1v@mail.com,351-(688)322-4919,2013-05-21 6:44:00,SA_REP,6200,0.1,48,80
69,Carl,Hudson,chudson1w@mail.com,86-(691)177-3954,2013-01-04 6:43:00,SA_REP,11500,0.25,49,80
70,Nicole,Ruiz,nruiz1x@mail.com,255-(814)280-1961,2014-08-14 7:59:00,SA_REP,10000,0.2,49,80
71,Amy,Frazier,afrazier1y@mail.com,31-(498)580-4015,2011-02-04 17:54:00,SA_REP,9600,0.2,49,80
72,Marilyn,Young,myoung1z@mail.com,86-(901)608-1987,2012-12-25 9:41:00,SA_REP,7400,0.15,49,80
73,Johnny,Rice,jrice20@mail.com,57-(208)682-0909,2012-02-22 1:52:00,SA_REP,7300,0.15,49,80
74,Justin,Stanley,jstanley21@mail.com,86-(467)591-2365,2013-11-12 4:39:00,SA_REP,6100,0.1,49,80
75,Barbara,Andrews,bandrews22@mail.com,30-(813)364-1639,2013-06-10 6:15:00,SA_REP,11000,0.3,50,80
76,Harry,Rice,hrice23@mail.com,961-(411)187-4876,2015-06-02 12:33:00,AC_MGR,12008,,2,110
77,John,Hernandez,jhernandez24@mail.com,7-(494)115-0961,2011-06-05 2:37:00,AC_ACCOUNT,8300,,76,110
78,Victor,Gomez,vgomez25@mail.com,86-(293)931-1691,2012-10-21 10:09:00,SA_REP,8400,0.2,50,80
79,Michelle,Gardner,mgardner26@mail.com,56-(853)522-5645,2015-07-25 8:09:00,SA_REP,7000,0.15,50,80
80,Dennis,Taylor,dtaylor27@mail.com,86-(120)615-5806,2014-07-28 7:04:00,SA_REP,6200,0.1,50,80
81,Jeffrey,Lynch,jlynch28@mail.com,86-(672)495-7294,2013-05-06 12:24:00,SH_CLERK,3200,,21,50
82,Tammy,Kennedy,tkennedy29@mail.com,86-(940)486-2429,2013-04-30 16:27:00,SH_CLERK,3100,,21,50
83,Jack,Gonzales,jgonzales2a@mail.com,86-(514)870-6710,2014-06-08 9:47:00,SH_CLERK,2500,,21,50
84,William,Rodriguez,wrodriguez2b@mail.com,964-(983)223-4090,2012-06-23 11:34:00,SH_CLERK,2800,,21,50
85,Benjamin,Rogers,brogers2c@mail.com,30-(877)586-4753,2013-06-19 16:33:00,SH_CLERK,4200,,22,50
86,Jessica,Morrison,jmorrison2d@mail.com,63-(207)387-6427,2014-04-12 17:35:00,SH_CLERK,4100,,22,50
87,Christopher,Morris,cmorris2e@mail.com,86-(630)472-2833,2015-01-22 20:08:00,SH_CLERK,3400,,22,50
88,Thomas,Gray,tgray2f@mail.com,62-(606)326-3955,2011-09-17 23:10:00,SH_CLERK,3000,,22,50
89,Steve,Murray,smurray2g@mail.com,47-(101)211-5706,2012-12-27 13:13:00,SH_CLERK,3800,,23,50
90,Helen,Sullivan,hsullivan2h@mail.com,93-(170)944-3478,2015-09-19 14:06:00,SH_CLERK,3600,,23,50
91,Aaron,Stephens,astephens2i@mail.com,86-(611)363-8766,2011-11-18 12:49:00,AD_ASST,4400,,2,10
92,Raymond,Burke,rburke2j@mail.com,46-(745)853-5234,2014-10-21 14:24:00,MK_MAN,13000,,1,20
93,Debra,Webb,dwebb2k@mail.com,86-(515)135-1895,2015-10-13 2:06:00,MK_REP,6000,,92,20
94,Christopher,Collins,ccollins2l@mail.com,1-(248)526-7040,2015-10-16 0:13:00,HR_REP,6500,,2,40
95,Albert,Anderson,aanderson2m@mail.com,380-(993)505-3884,2010-12-11 10:09:00,PR_REP,10000,,2,70
96,Gordon,Freeman,gfreeman@mail.com,180-(992)534-5561,2023-12-09 13:34:00,PR_REP,10000,,2,
