client_fid,street,city,state,zip,primary_phone
"C050","866 Rorke Way","Palo Alto","CA","94303-4409","(510) 494-7298"
"C051","1063 Colorado Ave","Palo Alto","CA","94303-3816","(650) 739-0423"
"C052","2272 Poplar Ave","Palo Alto","CA","94303-1431","(650) 324-2698"
"C053","511 Sacramento St","East Palo Alto","CA","94303-1616","(510) 289-0172"
"C054","232 Wisteria Dr","East Palo Alto","CA","94303-2614","(650) 322-4217"
"C055","2034 Edgewood Dr","Palo Alto","CA","94303-3107","(650) 856-2494"
"C056","993 Lawrence Ln","Palo Alto","CA","94303-3834","(650) 856-3838"
"C057","1804 Embarcadero Rd","Palo Alto","CA","94303-3341","(415) 948-6500"
"C058","3937 Bibbits Dr","Palo Alto","CA","94303-4529","(650) 843-0933"
"C059","3029 Price Ct","Palo Alto","CA","94303-4101","(650) 493-1017"
"C060","1174 Laurel Ave","Palo Alto","CA","94303-1015","(650) 462-9642"
"C061","1805 E Bayshore Rd","Apt 1207","CA","94303-1015","(650) 566-9412"
"C062","2552 Farrington Way","Palo Alto","CA","94303-1118","(415) 324-1458"
"C063","1927 Manhattan Ave","East Palo Alto","CA","94303-2254","(650) 330-1078"
"C064","3512 Ross Rd","Palo Alto","CA","94303-4445","(650) 493-3512"
"C065","2218 Addison Ave","East Palo Alto","CA","94303-1435","(415) 326-4008"
"C066","828 Schembri Ln","East Palo Alto","CA","94303-1738","(650) 324-8805"
"C067","1308 Westminster Ave","Palo Alto","CA","94303-1052","(650) 326-9654"
"C068","140 Daphne Way","East Palo Alto","CA","94303-2637","(650) 322-7832"
"C069","3164 Morris Dr","Palo Alto","CA","94303-4037","(650) 494-6655"
"C070","324 Azalia Dr","Palo Alto","CA","94303-2014","(650) 324-8313"
"C071","1021 Bradley Way","East Palo Alto","CA","94303-1228","(650) 853-0504"
"C072","2455 Illinois St","East Palo Alto","CA","94303-1228","(415) 326-1451"
"C073","280 E Okeefe St","Palo Alto","CA","94303-2172","(650) 566-1740"
"C074","2172 Poplar Ave","Palo Alto","CA","94303-1429","(650) 325-1862"
"C075","3126 David Ave","Palo Alto","CA","94303-3945","(415) 494-2574"
"C076","810 Fielding Dr","Palo Alto","CA","94303-3645","(650) 424-8866"
"C077","3126 David Ave","Palo Alto","CA","94303-3945","(650) 320-8561"
"C078","153 Walter Hays Dr","Palo Alto","CA","94303-2924","(415) 328-8327"
"C079","3930 Bibbits Dr","Palo Alto","CA","94303-4528","(650) 856-3457"
"C080","2347 Santa Ana St","Palo Alto","CA","94303-3141","(650) 856-9738"

